,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
232,Terence Davis,TOR,23,64,46,18,17,7.7,2.8,6.1,0.463,1.4,3.5,0.396,0.7,0.8,0.865,0.7,2.7,3.4,1.7,1,0.5,0.2,1.6,15.4,1,0,3.5
284,Royce O'Neale,UTA,27,64,41,23,29.1,6.3,2.2,5,0.439,1.3,3.3,0.389,0.6,0.8,0.735,0.3,5,5.3,2.5,0.8,0.7,0.4,2.8,19.2,2,0,3.2
180,Joe Ingles,UTA,32,64,41,23,29.9,9.8,3.4,7.7,0.441,1.9,4.8,0.397,1,1.3,0.774,0.4,3.6,4,5.2,1.9,0.9,0.1,2.1,23.5,2,0,3.8
120,De'Andre Hunter,ATL,22,63,19,44,32,12.3,4.4,10.8,0.41,1.7,4.8,0.355,1.7,2.3,0.764,0.7,3.8,4.5,1.8,1.6,0.7,0.3,2.9,21.8,3,0,-4.1
99,Joe Harris,BKN,28,63,30,33,30.9,13.9,5.3,11.2,0.471,2.4,5.9,0.412,1,1.3,0.747,1,3.4,4.3,2.1,1.5,0.6,0.3,2.2,23.3,0,0,1.8
270,Brad Wanamaker,BOS,30,63,43,20,19.3,6.6,2.2,5,0.428,0.5,1.4,0.367,1.7,1.8,0.931,0.3,1.7,2,2.5,1.1,0.8,0.2,1.9,14.6,0,0,1
56,Devonte' Graham,CHA,25,63,23,40,35.1,18.2,5.8,15.3,0.382,3.5,9.3,0.373,3,3.7,0.82,0.7,2.7,3.4,7.5,2.9,1,0.2,1.8,34.2,17,0,-2.9
58,Terry Rozier,CHA,26,63,21,42,34.4,18,6.3,14.9,0.423,2.7,6.7,0.407,2.6,3,0.874,0.8,3.6,4.4,4.1,2.2,1,0.2,2,30.6,2,0,-6.3
75,Tim Hardaway Jr.,DAL,28,63,38,25,28.8,15.8,5.5,12.6,0.437,2.9,7.2,0.407,1.9,2.4,0.801,0.4,2.8,3.1,2,1,0.6,0.1,1.7,23.7,0,0,5.4
179,Ben McLemore,HOU,27,63,40,23,22.8,9.8,3.3,7.5,0.445,2.4,6.2,0.395,0.7,1,0.758,0.3,1.9,2.2,0.9,0.7,0.6,0.2,2.1,15.4,1,0,3.4
271,T.J. McConnell,IND,28,63,38,25,18.9,6.5,3,5.7,0.517,0.1,0.2,0.333,0.5,0.6,0.833,0.5,2.1,2.6,5,1.4,0.7,0.2,1.1,18.4,2,0,0.6
54,Montrezl Harrell,LAC,26,63,44,19,27.8,18.6,7.5,12.9,0.58,0,0.3,0,3.7,5.6,0.658,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,33.2,12,0,4
